city,region,type_of_unite,in_compound,owner_type,area,rooms,bathrooms,floor_number,elevator,finish_status,year_of_building,views,has_reviews,payment_method,price_per_meter,price,area_category,floor_category,building_category
North Coast,Marina 5 Resort,Apartment,False,Real Estate Marketer,90,2,2,2,False,Extra Super Luxury,2025,Sea,True,Installment,116667,10500000,Medium,low,new
Greater Cairo,كمبوند أصالة,Apartment,True,Real Estate Marketer,150,3,2,3,True,Semi-Finished,2018,Garden,True,Cash or Installment,31000,4650000,Large,low,new
Greater Cairo,العريش,Apartment,False,Real Estate Marketer,130,3,1,9,True,Extra Super Luxury,1999,Main Street,True,Cash,13846,1800000,Large,high,old
Hurghada,Al Kawthar District,Apartment,False,Real Estate Marketer,47,1,1,1,False,Super Luxury,2027,Swimming Pool,False,Installment,50000,2350000,Small,low,new
Greater Cairo,Idris Home Compound - Arkan,Apartment,True,Real Estate Marketer,181,3,3,3,False,Semi-Finished,2027,Main Street,True,Installment,22000,3982000,X-Large,low,new
Greater Cairo,كمبوند سراي - مدينة مصر للتطوير,Apartment,True,Real Estate Marketer,112,2,2,3,False,Unfinished,2026,Main Street,True,Installment,59509,6665000,Medium,low,new
Greater Cairo,كمبوند في حدائق أكتوبر,Apartment,True,Real Estate Marketer,115,2,2,3,False,Semi-Finished,2027,Swimming Pool,True,Installment,27000,3105000,Medium,low,new
Greater Cairo,Second District,Apartment,False,Developer,135,3,2,2,True,Semi-Finished,2027,Back Side,False,Cash or Installment,21852,2950000,Large,low,new
Greater Cairo,دي جويا ريزيدنس - تاج مصر,Apartment,True,Real Estate Marketer,135,3,2,4,False,Unfinished,2025,Main Street,True,Cash,39960,5394600,Large,mid,new
Hurghada,منتجع ماجرا - برايم,Studio,False,Real Estate Marketer,68,1,1,1,False,Super Luxury,2026,Sea,False,Installment,60500,4114000,Small,low,new
Greater Cairo,الحي الأول,Apartment,False,Developer,167,3,2,2,True,Semi-Finished,2025,Main Street,False,Cash or Installment,22455,3750000,X-Large,low,new
Hurghada,الاحياء,Studio,False,Real Estate Marketer,69,1,1,2,False,Super Luxury,2026,Sea,False,Installment,62700,4326300,Small,low,new
Greater Cairo,الحي الأول,Apartment,False,Developer,105,2,2,4,False,Semi-Finished,2025,Main Street,True,Cash or Installment,14405,1512500,Medium,mid,new
Hurghada,Al Kawthar District,Apartment,False,Real Estate Marketer,63,1,1,3,False,Super Luxury,2026,Swimming Pool,False,Cash or Installment,49011,3087693,Small,low,new
Greater Cairo,شارع الدكتور هاني ماهر,Apartment,False,Real Estate Marketer,130,2,2,0,False,Super Luxury,2020,Main Street,True,Cash,42308,5500000,Large,ground,new
Hurghada,وسط البلد - الغردقة,Studio,False,Real Estate Marketer,45,1,1,1,False,Super Luxury,2025,Swimming Pool,False,Cash,55556,2500000,Small,low,new
Greater Cairo,شارع الثلاثيني,Apartment,False,Real Estate Marketer,120,3,2,5,True,Super Luxury,1998,Main Street,True,Cash,12500,1500000,Medium,mid,old
Greater Cairo,كمبوند البروج - كابيتال جروب,Penthouse,True,Real Estate Marketer,259,3,1,2,False,Semi-Finished,2025,Garden,True,Cash,27799,7200000,X-Large,low,new
